ac,acórdão
adj,adjunto
adv,advogado
ag,agravo
al,alínea
alv,alvará
ap,apelação
apda,apelada
app,apêndice
apte,apelante
apto,apartamento
art,artigo
arts,artigos
at,à atenção de
c.c,c/c
c/c,c/c
cap,capítulo
caps,capítulos
caput,capítulo
cf,confira
cit,citação
cls,conclusos
cód,código
códs,códigos
cogn,cognome
col,coluna
concl,conclusão
cons,conselheiro
coord,coordenador
coords,coordenadores
crf,confira
cx,caixa
dª,dona
dec,decreto
des,desembargador
desa,desembargadora
desª,desembargadora
desp,despacho
disp,disposição
doc,documento
docs,documentos
dr,doutor
dra,doutora
drª,doutora
drs,doutores
ed,edição
eg,por exemplo
em,ementa
emª,eminência
embs,embargos
eng,engenheiro
est,estadual
etc,etc
ex,exemplo
exª,excelência
exa,excelência
exma,excelentíssima
exmas,excelentíssimas
exmo,excelentíssimo
exmos,excelentíssimos
f,folha
fab,fábrica
fl,folha
fls,folhas
fol,folha
fols,folhas
for,forense
fs,folhas
ib,ib
ibdem,idbdem
id,o mesmo autor
idem,o mesmo
ilma,ilustríssima
ilmo,ilustríssimo
inc,inciso
incs,incisos
ínt,íntegra
ip,ipisis
jd,jardim
jr,junior
jud,judiciário
julg,julgamento
jur,jurisprudência
jurid,jurídico
leg,legal
legisl,legislativo
lit,literalmente
liv,livro
loc,loco
ltda,ltda
m.m,meritíssimo
mmª,meritíssima
mag,magistrado
min,ministro
mm,meritíssimo
mma,meritíssima
mov,movido
movs,movidos
ms,manuscrito
nº,número
n.º,número
ob,observação
obr,obrigado
obs,observações
of,oficial
op,opus
pág,página
parl,parlamentar
pet,petição
pg,pago
pp,páginas
pres,presidente
proc,processo
prof,professor
profa,professora
prot,protocolo
prov,provimento
rcl,reclamação
rel,relator
rep,republicado
res,resolução
resp,respaldo
ret,retificação
rev,reverendíssimo
revmo,reverendíssimo
s.a,SA
s/a,SA
sc,a saber
seç,seção
secç,secção
seg,seguinte
seq,sequência
sr,senhor
sra,senhora
srta,senhorita
ss,seguintes
súm,súmula
sup,suplicante
supl,suplemento
supr,supremo
téc,técnico
tel,telefone
test.º,testamento
tít,título
trans,transposto
ún,único
v.u,votação unânime
vº,verso
vol,volume
vu,votação unânime
reg,regional
